"Time [s]","Force1.Force_x [newton]"
0,-34.7886624252317
0.32,-29.9414345659211
0.64,-24.8469918113376
0.96,-20.3306032685813
1.28,-16.3444916915995
1.6,-13.2575894079243
1.92,-11.1545606598259
2.24,-9.94748138545088
2.56,-9.50803405826515
2.88,-9.45388669716167
3.2,-10.0124523575173
3.52,-10.8219235662105
3.84,-11.9092171649524
4.16,-13.2646870982332
4.48,-14.5869089809956
4.8,-16.1879398160085
5.12,-17.7792519944831
5.44,-19.6774592509144
5.76,-21.408820886298
6.08,-22.9630934609205
6.4,-25.2273367742873
6.72,-27.0690153029775
7.04,-29.2760304933841
7.36,-30.9386582891903
7.68,-33.0487328239123
8,-34.5501070539169
8.32,-36.5454171554223
8.64,-38.35147250463
8.96,-40.1574595483569
9.28,-42.079642159837
9.6,-43.845292072977
9.92,-45.8129504995913
10.24,-47.4071563395031
10.56,-49.3432983046217
10.88,-51.0457803950074
11.2,-52.8672400925701
11.52,-53.993334724825
11.84,-56.0114223236495
12.16,-57.3727268046676
12.48,-58.578569051606
12.8,-59.3549552949645
13.12,-60.0127535182817
13.44,-61.0737047299229
13.76,-61.0375757677295
14.08,-59.7995865632554
14.4,-58.6145041454623
14.72,-55.5259111696201
15.04,-51.3531667682738
15.36,-46.0424315067366
15.68,-40.4045879588366
16,-34.9311676561928
16.32,-30.1943205345548
16.64,-25.1817647424562
16.96,-20.6546518709256
17.28,-16.6269952703995
17.6,-13.5427084704628
17.92,-11.5195903695032
18.24,-10.237748265023
18.56,-9.6601815686811
18.88,-9.70858368700431
19.2,-10.0946528798642
19.52,-10.9299906720747
19.84,-11.863769057518
20.16,-13.145199408504
20.48,-14.5186519343181
20.8,-16.294337179518
21.12,-17.8452019057796
21.44,-19.5843676259449
21.76,-21.1123863706744
22.08,-23.2144240120894
22.4,-25.0398391873829
22.72,-27.2293159970049
23.04,-28.5617879357718
23.36,-30.9429524043351
23.68,-32.622546038116
24,-34.7108445993914
24.32,-36.2950429506881
24.64,-38.2301728444487
24.96,-39.8439859637112
25.28,-42.5359220954369
25.6,-43.8051803614898
25.92,-45.3047879443324
26.24,-47.1917051296565
26.56,-49.4749708651203
26.88,-50.4944143908138
27.2,-52.2266874860639
27.52,-53.5998846840885
27.84,-54.9505065062931
28.16,-56.5724085531394
28.48,-57.3617539744699
28.8,-58.4386522258887
29.12,-60.1341428176354
29.44,-59.8574821194783
29.76,-59.9334054359408
30.08,-59.8129142631059
30.4,-57.5281794278525
30.72,-54.72803639246
31.04,-50.5911575056694
31.36,-45.3308625900322
31.68,-39.6831452859515
32,-34.294805561074
